date,reserved_slots,used_slots,estimated_idle_slots,jobs_completed,failed_jobs,bytes_processed_tb,avg_query_duration_sec,storage_tb,cost_usd,optimization_opportunity_usd
2026-01-01,500,320,180,1250,2,18.5,3.1,12.0,315,18
2026-01-02,500,335,165,1295,2,19.2,3.2,12.1,322,17
2026-01-03,500,350,150,1342,3,20.1,3.2,12.2,330,16
2026-01-04,500,365,135,1398,2,21.4,3.3,12.3,340,16
2026-01-05,500,385,115,1475,3,23.2,3.4,12.5,355,14
2026-01-06,500,405,95,1560,3,25.6,3.5,12.7,372,13
2026-01-07,500,425,75,1645,4,27.8,3.7,12.9,390,12
2026-01-08,500,445,55,1738,4,29.6,3.9,13.1,410,10
2026-01-09,500,465,35,1825,5,31.8,4.2,13.3,432,9
2026-01-10,500,480,20,1908,5,33.7,4.4,13.5,450,8
2026-01-11,500,490,10,1982,6,35.4,4.6,13.8,465,7
2026-01-12,500,495,5,2015,12,36.1,5.4,14.0,478,22
2026-01-13,500,498,2,2068,8,37.8,5.1,14.2,488,28
2026-01-14,500,500,0,2145,7,39.5,4.9,14.4,498,35
2026-01-15,500,500,0,2210,6,41.2,4.7,14.6,510,42
